h	R	cor	avg
0.01	0.5557	3.24E-4	0.00214
0.02567	0.54625	-3.83E-4	0.00557
0.04134	0.5263	-7.39E-4	0.00904
0.05701	0.54725	-3.6E-5	0.01252
0.07268	0.5448	-8.2E-5	0.01601
0.08835	0.535	1.3E-4	0.01952
0.10402	0.5462	0.00164	0.02317
0.11969	0.5452	0.00165	0.02599
0.13535	0.5441	0.00163	0.02949
0.15102	0.55045	0.00155	0.03333
0.16669	0.5247	0.00191	0.03669
0.18236	0.54805	0.00237	0.04023
0.19803	0.52995	0.00297	0.04352
0.2137	0.55935	0.00434	0.04773
0.22937	0.55065	0.00411	0.05094
0.24504	0.5296	0.00488	0.05498
0.26071	0.5536	0.00555	0.05838
0.27638	0.53385	0.00651	0.06195
0.29205	0.53605	0.00733	0.06557
0.30772	0.52155	0.00822	0.06946
0.32339	0.532	0.0089	0.07334
0.33906	0.53275	0.00987	0.07693
0.35472	0.52055	0.0108	0.08111
0.37039	0.5358	0.01157	0.08516
0.38606	0.53375	0.01283	0.08914
0.40173	0.53725	0.0142	0.09335
0.4174	0.52365	0.0162	0.0977
0.43307	0.5095	0.0169	0.10175
0.44874	0.53865	0.01821	0.10611
0.46441	0.5113	0.02003	0.11089
0.48008	0.5249	0.0213	0.11491
0.49575	0.5283	0.02275	0.11911
0.51142	0.527	0.02469	0.1246
0.52709	0.5175	0.02558	0.12866
0.54276	0.5278	0.02842	0.13337
0.55843	0.5234	0.02944	0.13875
0.57409	0.5212	0.03141	0.14369
0.58976	0.52205	0.03252	0.14839
0.60543	0.5121	0.03515	0.15383
0.6211	0.5067	0.03674	0.15926
0.63677	0.52435	0.04072	0.16461
0.65244	0.5317	0.0426	0.17053
0.66811	0.5239	0.04381	0.17586
0.68378	0.51715	0.04711	0.18165
0.69945	0.50985	0.05028	0.18763
0.71512	0.5284	0.05284	0.19433
0.73079	0.5377	0.05505	0.20063
0.74646	0.52435	0.05923	0.20835
0.76213	0.52535	0.06217	0.21565
0.7778	0.50445	0.06537	0.22272
0.79347	0.51135	0.06994	0.23049
0.80913	0.5141	0.07286	0.23861
0.8248	0.506	0.0779	0.24722
0.84047	0.5238	0.08122	0.25546
0.85614	0.5182	0.08622	0.26539
0.87181	0.49825	0.09073	0.27477
0.88748	0.51835	0.0958	0.28505
0.90315	0.51535	0.10219	0.29743
0.91882	0.5138	0.10773	0.30913
0.93449	0.48395	0.11399	0.32146
0.95016	0.5024	0.12042	0.33359
0.96583	0.51175	0.128	0.34898
0.9815	0.51605	0.13548	0.36448
0.99717	0.47735	0.1437	0.38283
1.01284	0.48705	0.15316	0.40145
1.0285	0.4617	0.16314	0.42343
1.04417	0.4261	0.17559	0.44879
1.05984	0.35805	0.18879	0.47786
1.07551	0.14635	0.2065	0.5207
1.09118	0.03365	0.22257	0.56535
1.10685	0.0046	0.22745	0.60051
1.12252	1E-4	0.22553	0.62788
1.13819	0.00175	0.22724	0.64582
1.15386	0	0.21967	0.67006
1.16953	3E-4	0.21369	0.6945
1.1852	0	0.20719	0.71603
1.20087	0	0.19916	0.73259
1.21654	0	0.19046	0.75376
1.23221	0	0.18444	0.76194
1.24787	0	0.17252	0.7875
1.26354	0	0.16631	0.79792
1.27921	0	0.15637	0.81236
1.29488	0	0.15349	0.8181
1.31055	0	0.13787	0.83925
1.32622	0	0.13734	0.84206
1.34189	0	0.12435	0.85864
1.35756	0	0.1167	0.86813
1.37323	0	0.11395	0.87351
1.3889	0	0.10761	0.88029
1.40457	0	0.10072	0.88942
1.42024	0	0.09479	0.89694
1.43591	0	0.08995	0.90287
1.45158	0	0.08086	0.91342
1.46724	0	0.08042	0.91398
1.48291	0	0.07511	0.91999
1.49858	0	0.07031	0.92523
1.51425	0	0.07078	0.92474
1.52992	0	0.06392	0.93224
1.54559	0	0.06001	0.93661
1.56126	0	0.0548	0.94251
1.57693	0	0.05071	0.94697
1.5926	0	0.05253	0.94523
1.60827	0	0.04673	0.95151
1.62394	0	0.04521	0.95299
1.63961	0	0.03948	0.95927
1.65528	0	0.03736	0.96138
1.67095	0	0.03925	0.95962
1.68661	0	0.03511	0.96397
1.70228	0	0.03442	0.96463
1.71795	0	0.03471	0.96439
1.73362	0	0.02888	0.97043
1.74929	0	0.02965	0.96954
1.76496	0	0.02604	0.97334
1.78063	0	0.02658	0.97286
1.7963	0	0.02317	0.97638
1.81197	0	0.02372	0.97595
1.82764	0	0.02281	0.97688
1.84331	0	0.02139	0.9784
1.85898	0	0.02012	0.97957
1.87465	0	0.01751	0.98232
1.89032	0	0.01646	0.98331
1.90598	0	0.01747	0.98231
1.92165	0	0.01685	0.98297
1.93732	0	0.01409	0.98579
1.95299	0	0.01485	0.98504
1.96866	0	0.01287	0.98694
1.98433	0	0.01347	0.9864
2	0	0.01242	0.98745
